codigo_cliente;regional;gerencia;subcanal;subcanal_;Gerencia_F;Cliente
11140637;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
12609015;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11585928;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
12655757;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
12944525;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10155894;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
11545268;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12204097;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
13194478;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
13680613;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
10383096;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13081745;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
11354884;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11000098;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13111230;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
13216162;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12981853;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13483844;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
11702788;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
10369394;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12784546;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11396577;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
12750534;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
10976945;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12745079;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
